liquid,pipette,volume,aspiration_rate,dispense_rate,blow_out_rate,delay_aspirate,delay_dispense,delay_blow_out,%error,time_asp_1000,acq_value
Viscosity_std_204,p1000,1000.0,89.91195205300691,89.91195205300691,0,5,5,0,-10.047459196666187,32.24398374557495,
Viscosity_std_204,p1000,500.0,89.91195205300691,89.91195205300691,0,5,5,0,-5.313114943859493,32.24398374557495,
Viscosity_std_204,p1000,300.0,89.91195205300691,89.91195205300691,0,5,5,0,-5.698962071226461,32.24398374557495,
Viscosity_std_204,p1000,"mean[100, 500, 1000]",89.91195205300691,89.91195205300691,0,5,5,0,-7.0198454039173805,32.24398374557495,
Viscosity_std_204,p1000,1000.0,112.38994006625865,8.991195205300691,0,5,5,0,2.8128255585134454,130.11751222610474,
Viscosity_std_204,p1000,500.0,112.38994006625865,8.991195205300691,0,5,5,0,4.734344252807223,130.11751222610474,
Viscosity_std_204,p1000,300.0,112.38994006625865,8.991195205300691,0,5,5,0,3.5999536983445246,130.11751222610474,
Viscosity_std_204,p1000,"mean[100, 500, 1000]",112.38994006625865,8.991195205300691,0,5,5,0,-3.715707836555064,130.11751222610474,
Viscosity_std_204,p1000,1000.0,112.38994006625865,112.38994006625865,0,5,5,0,-12.02685496006464,27.795186996459957,
Viscosity_std_204,p1000,500.0,112.38994006625865,112.38994006625865,0,5,5,0,-7.211482810510414,27.795186996459957,
Viscosity_std_204,p1000,300.0,112.38994006625865,112.38994006625865,0,5,5,0,-4.232742987229587,27.795186996459957,
Viscosity_std_204,p1000,"mean[100, 500, 1000]",112.38994006625865,112.38994006625865,0,5,5,0,-7.823693585934881,27.795186996459957,
Viscosity_std_204,p1000,1000.0,8.991195205300691,112.38994006625865,0,5,5,0,-11.193425164949351,130.11751222610474,
Viscosity_std_204,p1000,500.0,8.991195205300691,112.38994006625865,0,5,5,0,-8.160666743836286,130.11751222610474,
Viscosity_std_204,p1000,300.0,8.991195205300691,112.38994006625865,0,5,5,0,-2.071999073967574,130.11751222610474,
Viscosity_std_204,p1000,"mean[100, 500, 1000]",8.991195205300691,112.38994006625865,0,5,5,0,-7.142030327584404,130.11751222610474,
Viscosity_std_204,p1000,1000.0,8.991195205300691,8.991195205300691,0,5,5,0,3.055909248756039,232.43983745574948,
Viscosity_std_204,p1000,500.0,8.991195205300691,8.991195205300691,0,5,5,0,5.15105915036384,232.43983745574948,
Viscosity_std_204,p1000,300.0,8.991195205300691,8.991195205300691,0,5,5,0,8.654551066867674,232.43983745574948,
Viscosity_std_204,p1000,"mean[100, 500, 1000]",8.991195205300691,8.991195205300691,0,5,5,0,-5.620506488662517,232.43983745574948,
Viscosity_std_204,p1000,1000,97.72866233834868,23.389237191021078,0,5,5,0,2.106725,62.987120366486565,
Viscosity_std_204,p1000,500,97.72866233834868,23.389237191021078,0,5,5,0,2.210904,62.987120366486565,
Viscosity_std_204,p1000,300,97.72866233834868,23.389237191021078,0,5,5,0,-0.258518,62.987120366486565,
Viscosity_std_204,p1000,"mean[100, 500, 1000]",97.72866233834868,23.389237191021078,0,5,5,0,-1.5253823333333336,62.987120366486565,
Viscosity_std_204,p1000,1000,78.13678949564905,29.618934570148483,0,5,5,0,-2.37296,56.560255440571375,
Viscosity_std_204,p1000,500,78.13678949564905,29.618934570148483,0,5,5,0,1.81734,56.560255440571375,
Viscosity_std_204,p1000,300,78.13678949564905,29.618934570148483,0,5,5,0,-0.914458,56.560255440571375,
Viscosity_std_204,p1000,"mean[100, 500, 1000]",78.13678949564905,29.618934570148483,0,5,5,0,-1.7015859999999998,56.560255440571375,
Viscosity_std_204,p1000,300,91.70595228538053,36.85228983482422,0,5,5,0,-0.497743,48.03977348783453,
Viscosity_std_204,p1000,500,91.70595228538053,36.85228983482422,0,5,5,0,0.057877,48.03977348783453,
Viscosity_std_204,p1000,300,91.70595228538053,36.85228983482422,0,5,5,0,-1.879076,48.03977348783453,
Viscosity_std_204,p1000,"mean[100, 500, 1000]",91.70595228538053,36.85228983482422,0,5,5,0,-0.8115653333333332,48.03977348783453,
Viscosity_std_204,p1000,300,106.05872524519008,43.736265749495196,0,5,5,0,-4.711193,42.293059187757336,
Viscosity_std_204,p1000,500,106.05872524519008,43.736265749495196,0,5,5,0,-3.113786,42.293059187757336,
Viscosity_std_204,p1000,300,106.05872524519008,43.736265749495196,0,5,5,0,-3.769726,42.293059187757336,
Viscosity_std_204,p1000,"mean[100, 500, 1000]",106.05872524519008,43.736265749495196,0,5,5,0,-3.8649016666666665,42.293059187757336,
Viscosity_std_204,p1000,1000,87.34513909685447,31.890612660511163,0,5,5,0,-3.044334,52.80602400738025,
Viscosity_std_204,p1000,1000,87.34513909685447,31.890612660511163,0,5,5,0,-1.145966,52.80602400738025,
